PulsingSystem,ODi,Feedrates,Lagtime,R2,GrowthRate
Spin flask system,0.825333333334853,0.604764068388763,67.8641251310668,0.986934932859251,0.0436827909181002
Spin flask system,1.10960000000094,0.337372889629612,113.972307703631,0.881587207189348,0.0250831764580892
Spin flask system,0.84781932601852,0.883086636138219,30.0000016531945,0.969763156974914,0.048476822561537
Spin flask system,0.691835229711148,1.23678980942039,0,0.961550544181873,0.0587696646160616
Spin flask system,0.740000000000029,0.476119501854778,93.8885360426104,0.954895757848135,0.0295343347973668
Spin flask system,0.696085321331883,0.782242577268717,0,0.952715517241379,0.0442276341065456
Spin flask system,0.923630874886528,0.648482364133743,54.9997401994405,0.996258436018845,0.0450837236227951
Spin flask system,0.818764911207633,1.09730825969956,0,0.913835794656193,0.0414622925931453
Spin flask system,0.683999999981454,0.525402046755839,81.8482825466082,0.937729668270222,0.0316047184325357
Spin flask system,0.793428402237453,0.246162728030318,270.000002281368,0.851684386825394,0.020523088833535
Plate reader system,0.750875298821268,0.399535567844973,101.021859160219,0.97645813623787,0.0377947064465713
Plate reader system,0.735261309640333,0.582885871678376,49.2195087779211,0.98659148768722,0.0589098895109018
Plate reader system,0.778480017796736,0.453308683316292,56.2828065456967,0.984926476341041,0.0392502767235146
Plate reader system,0.780291212591675,0.699042972131318,33.7474084672966,0.983237775986007,0.066006081844349
Plate reader system,0.735720960671066,0.370695628870294,120.998307791712,0.964549407890469,0.0386024050584072
Plate reader system,0.783446506572225,0.319104310652406,152.811000627847,0.974459040618759,0.0303273615502257
Plate reader system,0.697297683537701,0.215117184282179,260.161319119845,0.607214480335408,0.021078367185463
Plate reader system,0.622201363141947,1.04039436228136,0,0.961286829083108,0.0927869712428836
